,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
170292,14,ID1504,2020,2020-04-12,43.06,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170293,15,ID1504,2020,2020-04-17,43.06,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170294,16,ID1504,2020,2020-04-22,43.07,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170295,17,ID1504,2020,2020-04-27,43.26,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170296,18,ID1504,2020,2020-05-02,43.26,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170297,19,ID1504,2020,2020-05-07,43.26,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170298,20,ID1504,2020,2020-05-12,43.26,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170299,21,ID1504,2020,2020-05-17,43.27,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170300,22,ID1504,2020,2020-05-22,43.27,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170301,23,ID1504,2020,2020-05-27,43.27,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170302,0,ID1505,2020,2020-02-02,0.0,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170303,1,ID1505,2020,2020-02-07,1.27,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170304,2,ID1505,2020,2020-02-12,1.27,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170305,3,ID1505,2020,2020-02-17,1.27,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170306,4,ID1505,2020,2020-02-22,1.81,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170307,5,ID1505,2020,2020-02-27,2.83,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170308,6,ID1505,2020,2020-03-03,3.43,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170309,7,ID1505,2020,2020-03-08,3.43,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170310,8,ID1505,2020,2020-03-13,4.04,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170311,9,ID1505,2020,2020-03-18,4.18,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170312,10,ID1505,2020,2020-03-23,4.69,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170313,11,ID1505,2020,2020-03-28,4.69,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170314,12,ID1505,2020,2020-04-02,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170315,13,ID1505,2020,2020-04-07,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170316,14,ID1505,2020,2020-04-12,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170317,15,ID1505,2020,2020-04-17,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
170318,16,ID1505,2020,2020-04-22,4.97,16.386185597913897,-16.151541704308503,104.04,4.98,2020-02-07,"POLYGON ((-16.15618741777388 16.38166359127965, -16.156240458669284 16.39065638327806, -16.146895780938245 16.390707550579407, -16.146843168486757 16.381714728975254, -16.15618741777388 16.38166359127965))"
